player_1,player_2,homeTeamDefendingSide,homeTeam,awayTeam,xCoord,yCoord,zoneCode,away_number,home_number
8475158,8478519,left,TBL,NSH,0,0,N,6,6
8478519,8476925,left,TBL,NSH,-69,22,D,6,6
8479996,8479661,left,TBL,NSH,69,22,D,6,6
8475158,8478010,left,TBL,NSH,69,-22,D,6,6
8475158,8478519,left,TBL,NSH,0,0,N,6,6
8476822,8476925,left,TBL,NSH,69,22,O,6,6
8474564,8479996,left,TBL,NSH,69,-22,O,6,6
8479996,8477426,left,TBL,NSH,69,22,D,6,6
8475158,8478519,left,TBL,NSH,69,-22,D,6,6
8476822,8475158,left,TBL,NSH,-69,-22,D,6,5
8477426,8475158,left,TBL,NSH,69,22,O,5,6
8475158,8477426,left,TBL,NSH,69,22,D,5,6
8479542,8475158,left,TBL,NSH,69,22,O,5,6
8474564,8475158,left,TBL,NSH,69,-22,O,6,6
8475158,8474564,left,TBL,NSH,69,-22,D,6,6
8474564,8476925,left,TBL,NSH,69,22,O,5,6
8476925,8474564,right,TBL,NSH,0,0,N,5,6
8474564,8475158,right,TBL,NSH,-69,22,O,5,6
8479996,8474564,right,TBL,NSH,69,-22,O,6,6
8478519,8478438,right,TBL,NSH,-20,-22,N,6,6
8474564,8479996,right,TBL,NSH,69,22,D,6,6
8476925,8477426,right,TBL,NSH,69,-22,O,6,6
8476822,8475158,right,TBL,NSH,69,22,D,6,5
8475158,8478519,right,TBL,NSH,69,-22,O,6,5
8474564,8481704,right,TBL,NSH,-69,22,O,6,6
8474564,8481704,right,TBL,NSH,-69,22,O,6,6
8475158,8476822,right,TBL,NSH,69,22,O,6,5
8476925,8478519,right,TBL,NSH,20,-22,N,6,5
8478519,8475158,right,TBL,NSH,69,-22,D,6,6
8476925,8477426,right,TBL,NSH,0,0,N,6,6
8481704,8476822,right,TBL,NSH,69,22,O,6,6
8474564,8475158,right,TBL,NSH,20,22,N,6,6
8474564,8475158,right,TBL,NSH,-69,-22,O,6,6
8476822,8481704,right,TBL,NSH,69,22,D,6,6
8474564,8475158,left,TBL,NSH,0,0,N,6,6
8475158,8474564,left,TBL,NSH,0,0,N,6,6
8478519,8478438,left,TBL,NSH,-69,-22,D,6,6
8479996,8476822,left,TBL,NSH,-20,-22,N,6,6
8476925,8477426,left,TBL,NSH,69,22,D,5,6
8478519,8475158,left,TBL,NSH,0,0,N,6,6
8478519,8475158,left,TBL,NSH,69,22,O,6,6
8479996,8477426,left,TBL,NSH,0,0,N,6,6
8476822,8478438,left,TBL,NSH,-20,22,N,6,6
8478519,8475158,left,TBL,NSH,69,22,O,6,6
8481704,8474564,left,TBL,NSH,69,-22,D,6,6
8476822,8475158,left,TBL,NSH,-69,-22,D,6,5
8475158,8478519,left,TBL,NSH,-69,22,O,6,5
8476925,8476822,left,TBL,NSH,0,0,N,6,6
8476925,8477426,left,TBL,NSH,20,-22,N,6,6
8474564,8475158,left,TBL,NSH,69,-22,O,5,6
8478519,8478438,left,TBL,NSH,0,0,N,6,6
8474564,8475158,left,TBL,NSH,69,-22,O,5,6
8476822,8475158,left,TBL,NSH,-69,-22,D,6,6
8476925,8477426,left,TBL,NSH,69,-22,D,6,6
8477426,8476925,left,TBL,NSH,69,22,O,6,6
8475158,8478010,left,TBL,NSH,-69,-22,O,6,6
8478519,8475158,left,TBL,NSH,-69,22,D,6,6
8476822,8475158,left,TBL,NSH,-69,-22,D,6,6
8477426,8476925,left,TBL,NSH,-69,22,D,6,6
8476822,8481704,left,TBL,NSH,0,0,N,6,6
8471675,8484144,left,PIT,CHI,0,0,N,6,6
8478569,8482117,left,PIT,CHI,-69,-22,D,6,6
8476483,8477450,left,PIT,CHI,20,-22,N,6,6
8474189,8477987,left,PIT,CHI,-69,-22,D,6,6
8480252,8471215,left,PIT,CHI,69,22,D,6,6
8478569,8482117,left,PIT,CHI,69,-22,O,6,6
8474189,8477450,left,PIT,CHI,69,22,O,6,6
8478569,8477987,left,PIT,CHI,-69,-22,D,6,5
8480252,8471675,left,PIT,CHI,0,0,N,6,6
8471215,8484144,left,PIT,CHI,69,22,O,6,6
8482117,8474189,left,PIT,CHI,-69,-22,O,6,6
8478569,8480252,left,PIT,CHI,20,-22,N,6,6
8471215,8484144,left,PIT,CHI,20,-22,N,6,6
8471675,8477450,left,PIT,CHI,69,22,O,5,6
8471215,8480252,left,PIT,CHI,69,22,O,5,6
8471675,8480252,left,PIT,CHI,69,-22,O,5,6
8470604,8479383,left,PIT,CHI,20,-22,N,5,6
8477450,8470604,left,PIT,CHI,69,-22,D,5,6
8477987,8471675,left,PIT,CHI,-20,-22,N,6,6
8474189,8480252,left,PIT,CHI,-69,22,D,6,6
8471675,8477450,left,PIT,CHI,69,22,O,6,6
8471675,8484144,right,PIT,CHI,0,0,N,6,6
8471675,8484144,right,PIT,CHI,-69,-22,O,6,6
8474870,8478569,right,PIT,CHI,69,22,O,6,6
8474189,8477987,right,PIT,CHI,69,22,D,6,5
8471215,8480252,right,PIT,CHI,20,22,N,6,6
8480252,8471215,right,PIT,CHI,69,22,O,6,6
8477450,8476483,right,PIT,CHI,-69,22,D,6,6
8474189,8482117,right,PIT,CHI,20,-22,N,6,6
8471215,8477450,right,PIT,CHI,-69,-22,O,6,6
8477987,8471675,right,PIT,CHI,-69,22,D,6,6
8471675,8484144,right,PIT,CHI,-69,-22,O,6,6
8471675,8484144,right,PIT,CHI,69,-22,D,6,6
8477450,8471675,right,PIT,CHI,0,0,N,5,6
8471675,8477450,right,PIT,CHI,-69,-22,O,5,6
8480252,8471215,right,PIT,CHI,0,0,N,6,6
8474189,8474870,right,PIT,CHI,69,-22,D,6,6
8471675,8474870,right,PIT,CHI,-69,-22,O,6,6
8471215,8484144,right,PIT,CHI,-69,-22,O,6,6
8478569,8477987,right,PIT,CHI,69,-22,D,6,6
8484144,8471675,left,PIT,CHI,0,0,N,6,6
8474189,8477987,left,PIT,CHI,-69,-22,D,6,5
8484144,8478569,left,PIT,CHI,-69,22,O,6,5
8477987,8474189,left,PIT,CHI,-69,-22,O,6,5
8477450,8470604,left,PIT,CHI,69,22,D,6,5
8471675,8482117,left,PIT,CHI,-69,-22,D,6,6
8471215,8477987,left,PIT,CHI,-69,22,D,6,6
8471675,8477450,left,PIT,CHI,69,-22,O,6,6
